,Name,Publisher,Author,Year
0,"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",[Andrew Macarthy],Andrew Macarthy,2017
1,"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand",McGraw-Hill,"Ekaterina Walter, Jessica Gioglio",2014
2,"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution",Rowman & Littlefield Publishers,Keith Quesenberry,2018
3,"Social Media Marketing Mastery (2 Manuscripts in 1): The Ultimate Practical Guide to Marketing, Advertising, Growing Your Business and Becoming an Influencer ... with Facebook, Instagram, Youtube and More",Gary Clyne,Clyne Gary,2019
4,"Storytelling: Manipulation of the Audience - How to Learn to Skyrocket Your Personal Brand and Online Business Using the Power of Social Media Marketing, Including Instagram, Facebook and YouTube",Daniel Anderson,Daniel Anderson,2019
5,"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,ALLAN KANE,2020
6,"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income",Independently published,Digital Business Academy [Digital Business Academy],2021
7,"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series) (Scanned PDF)",Wiley,"Ann Handley, C.C. Chapman",2010
8,"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more",Wiley,"Kipp Bodnar, Jeffrey L. Cohen",2012
9,Social Media Marketing All-in-One For Dummies,John Wiley & Sons,"Jan Zimmerman, Deborah Ng",2017
10,Ten Arguments For Deleting Your Social Media Accounts Right Now,The Bodley Head Ltd,Jaron Lanier,2018
11,Digital And Social Media Marketing: Emerging Applications And Theoretical Development,Springer,"Nripendra P. Rana, Emma L. Slade, Ganesh Prasad Sahu, Hatice Kizgin, Nitish Singh, Bidit Dey, Anabel Gutierrez, Yogesh K. Dwivedi",2020
12,"Mind Wars: A History of Mind Control, Surveillance, and Social Engineering by the Government, Media, and Secret Societies",Red Wheel/Weiser,"Marie D. Jones, Larry Flaxman",2015
13,"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More",O'Reilly Media,"Russell, Matthew A., Klassen, Mikhail",2019
14,"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More","Jenkins, Alex","Jenkins, Alex",2016
15,"Social media marketing workbook 2019: how to leverage the power of Facebook advertising, Instagram marketing, YouTube and SEO to explode your business and personal brand",Social Media Guru,"Schaffner, Adam",2019
16,"Social Media Marketing, 3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos","Miller, Dave","Miller, Dave",2020
17,Social Media Marketing For Dummies,John Wiley & Sons,"Shiv Singh, Stephanie Diamond",2020
18,"Computational Propaganda: Political Parties, Politicians, and Political Manipulation on Social Media",Oxford University Press,"Samuel  C .  Woolley, Philip N. Howard",2018
19,"500 social media marketing tips : essential advice, hints and strategy for business : Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, Linkedin, and more!",Andrew Macarthy,Andrew Macarthy,2014
20,"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Location Data",Gohar F. Khan,Gohar F. Khan,2015
21,Social Media,Createspace Independent Publishing Platform,Grant Kennedy,2016
22,The SAGE Handbook of Social Media Research Methods,SAGE Publications Ltd,"Luke Sloan, Anabel Quan-Haase",2017
23,"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness",HarperBusiness,Gary Vaynerchuk,2016
24,Social Media Data Mining and Analytics,Wiley,"Gabor Szabo, Gungor Polatkan, P. Oscar Boykin, Antonios Chalkiopoulos",2018
25,"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords ","Preace, Jeremy","Preace, Jeremy",2020
26,"Praxiswissen Online-Marketing: Affiliate-, Influencer-, Content- und E-Mail-Marketing, Google Ads, SEO, Social Media, Online- inklusive Facebook-Werbung (German Edition)",Springer Gabler,"Lammenett, Erwin",2019
27,"FACEBOOK MARKETING 2021: Hit With Advertising Strategies to Estimate Your Small Business on Top,use This Move by Step Beginner’s Guide for Passive Income on Social Media to Make Money Online Fromhome",#PrB.rating#0.0,"Jack Mathew [Mathew, Jack]",2021
